mode,n,avg_turnaround,avg_response,avg_wait,avg_run,avg_sleep,avg_sched,total_turnaround,total_response,total_wait,total_run,total_sleep,total_sched
2,8,4.25,0.0,5.25,2.625,0.0,6.875,34,0,42,21,0,55
2,8,4.25,0.0,6.125,2.75,0.0,5.75,34,0,49,22,0,46
2,8,4.75,0.0,7.75,2.625,0.0,5.875,38,0,62,21,0,47
2,8,4.25,0.0,5.875,2.75,0.0,5.5,34,0,47,22,0,44
2,8,4.25,0.0,5.5,2.75,0.0,5.75,34,0,44,22,0,46
2,8,4.625,0.75,6.25,2.75,0.0,5.25,37,6,50,22,0,42
2,8,4.0,0.0,5.25,2.75,0.0,5.375,32,0,42,22,0,43
2,8,4.5,0.75,5.625,2.75,0.0,5.125,36,6,45,22,0,41
2,8,4.375,0.0,4.875,2.75,0.0,6.125,35,0,39,22,0,49
2,8,4.75,0.0,5.5,2.75,0.0,5.875,38,0,44,22,0,47
2,8,4.625,0.125,5.375,2.75,0.0,5.5,37,1,43,22,0,44
2,8,4.0,0.0,4.875,2.625,0.0,5.375,32,0,39,21,0,43
2,8,4.875,0.875,7.625,2.625,0.0,5.25,39,7,61,21,0,42
2,8,4.375,0.0,6.375,2.75,0.0,6.25,35,0,51,22,0,50
2,8,4.75,0.375,6.875,2.75,0.0,6.125,38,3,55,22,0,49
2,8,4.25,0.375,6.125,2.5,0.0,5.875,34,3,49,20,0,47
2,8,4.875,0.0,7.0,2.625,0.0,5.75,39,0,56,21,0,46
2,8,4.25,0.25,4.25,2.75,0.0,5.125,34,2,34,22,0,41
2,8,3.875,0.0,4.5,2.875,0.0,6.25,31,0,36,23,0,50
2,8,3.875,0.0,4.125,2.625,0.0,5.5,31,0,33,21,0,44
2,8,4.25,0.25,5.125,2.625,0.0,4.625,34,2,41,21,0,37
2,8,4.125,0.0,5.0,2.5,0.0,5.25,33,0,40,20,0,42
2,8,5.75,0.875,10.625,2.625,0.0,6.0,46,7,85,21,0,48
2,8,4.375,0.375,4.125,2.875,0.0,4.75,35,3,33,23,0,38
2,8,5.0,0.0,7.375,3.0,0.0,7.25,40,0,59,24,0,58
2,8,5.625,0.875,9.625,2.75,0.0,5.875,45,7,77,22,0,47
